VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750,30842,308111.58000000525,30869.0,472099.3099999684,15.293637953933343,3459.249999999918,79528.99,163987.72999996314,34.7358546234635,1.0008754296089748,1.532234880623313
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500,51294,306225.18000000564,50797.0,491916.0900000155,9.683959485796711,11409.350000000033,144929.24,185690.91000000987,37.7484928374683,0.9903107575934808,1.6063868098632728
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750,21076,303283.6400000054,21167.0,438524.329999948,20.717358624271174,38894.09999999464,257032.07000000007,135240.68999994255,30.8399513431692,1.0043177073448473,1.445921481290386
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750,42549,298693.9799999946,42105.0,394134.44999996264,9.360751692197189,77358.38999998783,55551.819999999985,95440.46999996802,24.2152062576557,0.9895649721497568,1.3195259241581292
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750,48853,296537.71000000084,48587.0,431702.3499999884,8.88514108712183,5449.7199999998975,15919.700000000003,135164.63999998756,31.3096836280811,0.9945550938529876,1.4558092797033713
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750,37344,295391.0400000049,36604.0,427609.9599999361,11.682055513056937,28815.44000000396,257032.07000000007,132218.91999993118,30.9204490933632,0.9801842330762639,1.4476063999772266
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750,25183,289604.5,26121.0,402621.2899999459,15.413701236550894,20569.55000000336,123880.96999999999,113016.7899999459,28.0702468565339,1.0372473494023746,1.3902452827906537
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750,54738,287921.8799999947,54744.0,509372.47999995865,9.304626625748185,6135.289999999883,11595.970000000003,221450.59999996395,43.4751794992894,1.0001096130658775,1.7691343221292108
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750,14785,287124.70000000007,14501.0,423808.98999996315,29.226190607541767,11423.390000000623,68601.68000000001,136684.28999996308,32.2513899480931,0.9807913425769361,1.476045042450068
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750,18574,285668.11999999546,19088.0,400461.1199999574,20.97973176864823,15034.060000001975,89286.26999999999,114792.99999996193,28.6652047519555,1.0276730914181114,1.4018404293764517
